Time,Angle,Distance
1773037485287,-83.22,690
1773037485287,-81.69,685
1773037485287,-80.23,678
1773037485287,-78.94,676
1773037485287,-77.56,672
1773037485287,-74.66,662
1773037485287,-73.33,655
1773037485287,-70.48,654
1773037485287,-69.2,652
1773037485287,-67.69,650
1773037485287,-66.33,650
1773037485287,-64.98,652
1773037485287,-63.66,653
1773037485287,-50.28,877
1773037485287,-46.97,1840
1773037485287,-45.53,1858
1773037485287,-44.19,1874
1773037485287,-42.81,1897
1773037485287,-18.81,1454
1773037485287,-17.42,1442
1773037485287,-16.05,1432
1773037485287,-14.59,1423
1773037485287,-13.2,1415
1773037485287,-11.78,1406
1773037485287,-10.44,1398
1773037485287,-9.02,1390
1773037485287,-7.33,1384
1773037485287,-5.97,1380
1773037485287,-4.53,1374
1773037485287,19.7,4374
1773037485287,21.08,4333
1773037485287,23.86,4318
1773037485287,49.39,1792
1773037485287,62.14,1335
1773037485287,63.56,1301
1773037485287,64.95,1270
1773037485287,66.39,1240
1773037485287,67.78,1211
1773037485287,69.19,1186
1773037485287,70.58,1163
1773037485287,72.06,1143
1773037485287,73.39,1124
1773037485287,74.86,1121
1773037485287,76.2,1119
1773037485287,77.56,1119
1773037485287,78.94,1140
1773037485287,80.34,1170
1773037485287,83.02,1246
1773037485287,84.34,1285
